,bms_number,category,coordinates,responsibility,status,date,searched_adress,message,message_links
1138,4388,"Straßen, Fahrrad & Verkehr > Straßenschäden","47.7130094340165, 9.17363067749611",OV Litzelstetten,Gelöst,15.01.2021,"Martin-Schleyer-Straße 14, 78465 Konstanz, Germany                    ","Litzelstetten und Dingelsdorf jeweils im Ort  Schlaglöcher, katastrophale Straßenverhältnisse. Flicken bringt hier nichts mehr . 
Sackgassen Schild am Hafen ist auch verdeckt, sieht kaum mehr jemand .
(Adresssuche nach: Litzelstetten)",
1144,4394,Beleuchtung > Straßenlaternen defekt,"47.6740515123712, 9.17476147413254",Stadtwerke Konstanz,Gelöst,16.01.2021,"Pestalozzistraße 1, 78467 Konstanz, Germany                    ","Diese Laterne (Pestalozzi-/Gustav-Schwab-Strasse) geht mal und überwiegend nicht. Diese wurde installiert im Zuge des Platz-Umbau. Eine weitere in Flucht der Pestalozzi-Strasse an der Z-Brücke ging bisher noch nie, wurde ebenfalls während Umbau aufgebaut.",
1145,4395,Beleuchtung > Straßenlaternen defekt,"47.6745931013541, 9.17975306510925",Stadtwerke Konstanz,Gelöst,16.01.2021,"Gottfried-Keller-Straße 17/F, 78467 Konstanz, Germany                    ",Laterne Nr 11 ohne Funktion,
1146,4396,Beleuchtung > Straßenlaternen defekt,"47.6721271215542, 9.18323658406734",Stadtwerke Konstanz,Gelöst,16.01.2021,"Konstanz, Zähringerplatz, 78464 Konstanz, Germany                    ","Laterne Nr 32 schon ewig ohne Funktion, wurde bereits gemeldet ohne Reaktion. Soll das so sein?",
1147,4397,Beleuchtung > Straßenlaternen defekt,"47.6729326471342, 9.18342232704163",Stadtwerke Konstanz,Gelöst,16.01.2021,"Zähringerpl. 9, 78464 Konstanz, Germany                    ","Folgende Strassenlampen ohne Funktion: 25/26/27 (Dreier-Gruppe), 29,30 und 31. Ist das so gewollt? Wurde früher auch schon mal gemeldet.",
1150,4400,Beleuchtung > Straßenlaternen defekt,"47.6909218830887, 9.1913770379087",Stadtwerke Konstanz,Gelöst,17.01.2021,"Flurweg 16, 78464 Konstanz, Germany                    ",Die Straßenlaterne mit der Nummer 12 an der Bushaltestelle Egg/Universität stadteinwärts ist defekt.,
1151,4401,Beleuchtung > Straßenlaternen defekt,"47.6601640098356, 9.16423883289099",Stadtwerke Konstanz,Gelöst,17.01.2021,"Zum Hussenstein 12, 78462 Konstanz, Germany                    ",Die Laterne 21 ist defekt. Sie wurde schon gemeldet und auch als gelöst markiert. Im Gegensatz zu allen anderen leuchtet sie aber nicht.,
1157,4407,Beleuchtung > Straßenlaternen defekt,"47.6695455685182, 9.17513804123529",Stadtwerke Konstanz,Gelöst,18.01.2021,"Reichenaustraße 1, 78467 Konstanz, Germany                    ",Laterne Nr. 5 ist defekt.,
1165,4415,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.7142851332164, 9.16954323649406",OV Litzelstetten,Gelöst,20.01.2021,"Kornblumenweg 10, 78465 Konstanz, Germany                    ","Nachdem der starke Schneefall nun 7 Tage her ist, sollte langsam auch eine zumindest erste Räumung der Nebenstraßen erfolgen. Radfahren hier wie auch auf dem gesamten St.Katharinen-Weg ist stark erschwert. Paketdienste hängen auf der Wendeplatte regelmäßig fest und müssen sich umständlich freigraben lassen, oft mit Unterstützung der Anwohner. Rettungsfahrzeuge fahren die Wendeplatte nicht an sondern stellen sich wohlweislich auf dem St.Katharinen-Weg bereit.",
1166,4416,Beleuchtung > Straßenlaternen defekt,"47.6799560527933, 9.15503320003381",Stadtwerke Konstanz,Gelöst,20.01.2021,"Max-Stromeyer-Straße 170C, 78467 Konstanz, Germany                    ","Die Laternen auf dem Bodenseeradweg zwischen den Haltepunkten Fürstenberg und Wollmatingen scheinen nicht zu funktionieren. Oder sie werden vielleicht  bei Dunkelheit nicht eingeschaltet. 
(Adresssuche nach: Bodenseeradweg)",
1167,4417,Beleuchtung > Straßenlaternen defekt,"47.6714816621718, 9.17462194137199",Stadtwerke Konstanz,Gelöst,20.01.2021,"Klingenbergstraße 11, 78467 Konstanz, Germany                    ",Strassenlaterne Nr. 4 ist dunkel,
1168,4418,Beleuchtung > Straßenlaternen defekt,"47.6703938466137, 9.16278956152651",Stadtwerke Konstanz,Gelöst,21.01.2021,"Rheinbrücke Autobahn Konstanz, Am Seerhein, 78467 Konstanz, Germany                    ","Auf dem Geh-/Radweg auf der Rheinbrücke (Richtung Stromeyersdorf) ist es Morgen extrem dunkel. Die Brücke hat mittig eine Beleuchtung installiert, durch die allmorgendlichen auf der Brücke stehenden LKWs (Rückstau Zoll) gelangt dieses Licht nicht auf den Gehweg. Eventuell ist es möglich eine zusätzliche Beleuchtung am Geländer zu installieren. 
Es ist nicht möglich Hindernisse auf dem Weg zu erkennen. Aktuell ist der Weg sehr gut geräumt, allerdings hilft das leider nicht gegen über Nacht entstehenden Eisplatten. Solche Eisplatten können durch das fehlende Licht nicht erkannt werden und führen zu Stürzen (wie ich selbst erfahren musste).",
1173,4423,Beleuchtung > Straßenlaternen defekt,"47.6691057464367, 9.1811748670129",Stadtwerke Konstanz,Gelöst,23.01.2021,"Theodor-Heuss-Straße 5, 78467 Konstanz, Germany                    ",Straßenlaterne direkt am Parkscheinautomat flackert seit über 1 Jahr.,
1178,4428,Beleuchtung > Straßenlaternen defekt,"47.6711592552883, 9.18168693780899",Stadtwerke Konstanz,Gelöst,25.01.2021,"Moltkestraße 2, 78467 Konstanz, Germany                    ",Srrassenlaterne ohne Funktion,
1193,4443,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.6693477750116, 9.17465304722506",Technische Betriebe,Gelöst,27.01.2021,"Reichenaustraße 1, 78467 Konstanz, Germany                    ",In Folge mangelhafter Entwässerung des Radweges (Fahrradstrasse) im Herosepark vor der Fahrradbrücke kommt es zu Glatteisseeen. Erhöhte Unfallgefahr!,
1196,4446,Beleuchtung > Straßenlaternen defekt,"47.6733928876039, 9.19388704415852",Stadtwerke Konstanz,Gelöst,28.01.2021,"Brandesstraße 17, 78464 Konstanz, Germany                    ",Gegenüber des Eingangs von Brandesstraße 17 ist seit Monaten das Leuchtmittel der Straßenlaterne defekt. Bitte austauschen.,
1197,4447,Beleuchtung > Straßenlaternen defekt,"47.6733790826683, 9.19543958350513",Stadtwerke Konstanz,Gelöst,28.01.2021,"Brandesstraße 25, 78464 Konstanz, Germany                    ","An den öffentlichen Parkplätzen auf Höhe des Gebäudes von Brandesstraße 25 ist das Leuchtmittel der Straßenlaterne defekt, glimmt nur noch. Bitte austauschen.",
1199,4449,Müll/Sauberkeit > Illegaler Müll,"47.6852390659152, 9.1451322118584",Technische Betriebe,Gelöst,28.01.2021,"Mannheimer Str. 2, 78467 Konstanz, Germany                    ",Biomülltonne samt Inhalt und Fahrrad liegen im Tümpel,
1218,4468,Öffentliche Orte/Ufer > Spielplätze schadhaft / verunreinigt,"47.69059198345, 9.15229796393911",Technische Betriebe,Gelöst,01.02.2021,"Benedikt-Bauer-Straße 6, 78467 Konstanz, Germany                    ",Schaukelbefestigung defekt,
1225,4475,Beleuchtung > Straßenlaternen defekt,"47.6719424, 9.1927574",Stadtwerke Konstanz,Gelöst,02.02.2021,"Franz-Liszt-Straße 4, 78464 Konstanz, Germany                    ","Laterne an der Grundstücksgrenze Nr.4 und 6a, gegenüber Tiefgarageneinfahrt ist defekt.
(Adresssuche nach: Franz-Liszt-Straße 4)",
1229,4479,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6719565813363, 9.17693196887332",Technische Betriebe,Gelöst,03.02.2021,"Von-Emmich-Straße 13, 78467 Konstanz, Germany                    ",Seit einiger Zeit ist der Gehweg vor dem gekennzeichneten Gebäude sehr verschmutzt. Abgelegte gelbe Säcke sowie zahlreiche große Glasscherben liegen auf dem Gehweg. Die Hausbewohner scheinen wenig interessiert.,
1238,4488,Beleuchtung > Straßenlaternen defekt,"47.6692728296549, 9.19253551313396",Stadtwerke Konstanz,Gelöst,05.02.2021,"Hebelstraße 12A, 78464 Konstanz, Germany                    ",Laterne brennt nicht,
1239,4489,Müll/Sauberkeit > Altglascontainer überfüllt,"47.6877293018125, 9.14386184212153",Technische Betriebe,Gelöst,05.02.2021,"Mühlenweg 9, 78467 Konstanz, Germany                    ","bei den Altglascontainern Verschmutzungen, Restglas, Schraubdeckel. Und Schlachtabfälle (abgetrenntes Hinterbein mit Schinken) ohne Verpackung - liegt auf dem Container. Ich mache es nicht weg - wohin auch damit? Gefahr: Katzen, Füchse,Ratten - vvlt auch spielende Kinder",
1242,4492,"Straßen, Fahrrad & Verkehr > Straßenschäden","47.6748488759114, 9.17865070282372",Technische Betriebe,Gelöst,06.02.2021,"Gottfried-Keller-Straße 21, 78467 Konstanz, Germany                    ","Extreme Straßenschäden, Gefahr für KFz und noch extremer für Fahrradfahrer",
1243,4493,"Straßen, Fahrrad & Verkehr > Gullideckel/ Kanal verstopft","47.6667995788869, 9.16998834477463",Technische Betriebe,Gelöst,06.02.2021,"Rheingutstraße 17, 78462 Konstanz, Germany                    ","Ecke Rheingutstraße/Zasiusstraße (bei Fahrschule)
Wasser fließt nicht ab, Kanalisation, Abfluss defekt
(Adresssuche nach: Zasiusstraße 12)",
1244,4494,Beleuchtung > Straßenlaternen defekt,"47.6694705711772, 9.17844298605088",Stadtwerke Konstanz,Gelöst,07.02.2021,"Georg-Elser-Platz 1, 78467 Konstanz, Germany                    ","Am Georg Elser Platz, am Spielplatzrand, gegenüber des Parkplatzes des städtischen Dienstgebäude ist die Straßenlaterne Nr 24 dunkel",
1245,4495,Beleuchtung > Straßenlaternen defekt,"47.6712233259392, 9.17602582940185",Stadtwerke Konstanz,Gelöst,07.02.2021,"Markgrafenstraße 17, 78467 Konstanz, Germany                    ",In der Gebhardstraße an der Kreuzung zur Markgrafenstraße ist die Laterne Nr. 5 dunkel.,
1246,4496,Beleuchtung > Straßenlaternen defekt,"47.6710124929623, 9.17711539129531",Stadtwerke Konstanz,Gelöst,07.02.2021,"Markgrafenstraße 7, 78467 Konstanz, Germany                    ","in der Markgrafenstraße ist die Strassenlaterne Nr. 2 sporadisch, nächtelang dunkel",
1251,4501,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.6561374, 9.1708805",Technische Betriebe,Gelöst,08.02.2021,"Schwedenschanze 5, 78462 Konstanz, Germany                    ","Dicker abgebrochener Ast hängt in der Baumkrone. Öffentliche Grünfläche gegenber der Arche.
(Adresssuche nach: Schwedenschanze 5)",
1254,4504,Beleuchtung > Straßenlaternen defekt,"47.6778757011132, 9.17745675891638",Stadtwerke Konstanz,Gelöst,09.02.2021,"Lortzingstraße 5, 78467 Konstanz, Germany                    ",Straßenlaterne Nr.2 Lortzingstraße ist aus.,
1257,4507,Beleuchtung > Straßenlaternen defekt,"47.6777868816091, 9.16823403397692",Stadtwerke Konstanz,Gelöst,10.02.2021,"Moosstraße 35, 78467 Konstanz, Germany                    ",Straßenlaterne defekt,
1266,4516,"Straßen, Fahrrad & Verkehr > Straßenschäden","47.6724404766655, 9.16358573675555",Technische Betriebe,Gelöst,13.02.2021,"B33 178, 78467 Konstanz, Germany                    ",Auf dem P+R Parkplatz Bodenseeforum unter der Rheinbrücke sind immer tiefer werdende Schlaglöcher. Eines direkt bei der Einfahrt auf den Parkplatz am Übergang vom Asphalt auf den Kiesplatz und weitere einige Meter weiter bei der Abbiegung nach rechts und links. Ein Auffüllen mit Kies wäre super!,
1267,4517,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6612526692579, 9.1702398668614",Technische Betriebe,Gelöst,14.02.2021,"Schützenstraße 4, 78462 Konstanz, Germany                    ","Beschilderung auf der Strecke Fahrradbrücke - Döbele - Zoll
---------
Viele Schilder auf dieser Strecke sollte man pflegen - sie sind verschmiert, überklebt, zugewachsen, vermoost und ausgeblichen, je in unterschiedlicher Stärke. Ich hänge Bilder inkl. Umgebung an, damit die Ortsfeststellung einfach fällt.",
1277,4527,Beleuchtung > Straßenlaternen defekt,"47.6809529232544, 9.19117991005015",Stadtwerke Konstanz,Gelöst,17.02.2021,"Jacob-Burckhardt-Straße 35, 78464 Konstanz, Germany                    ",Laterne Nummer 6 ist durch einen herab stürzenden Ast bei dem starken Schneefall beschädigt worden und leuchtet nicht mehr.,
1278,4528,Beleuchtung > Straßenlaternen defekt,"47.6682322658902, 9.18022057004272",Stadtwerke Konstanz,in Bearbeitung,17.02.2021,"Mainaustraße 2, 78464 Konstanz, Germany                    ",seit Wochen/Monaten sind 2 Laternen defekt,
1279,4529,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.672339666285, 9.19423696263767",Technische Betriebe,Gelöst,17.02.2021,"Brandesstraße 2, 78464 Konstanz, Germany                    ","Die Straßenbeschilderung ist häufig im ganzen Stadtgebiet verschmutzt. Das führt zu erschwerter Lesbarkeit, stört auch ein ""sauberes"" Stadtbild. Wer kümmert sich um die Straßenbeschilderung?
Eine allgemeine Säuberungsaktion würde mich und sicherlich viele Bürgerinnen und Bürger sehr freuen.",
1299,4549,Beleuchtung > Straßenlaternen defekt,"47.6656182984385, 9.17825081734402",Stadtwerke Konstanz,Gelöst,22.02.2021,"Konzilstraße 21, 78462 Konstanz, Germany                    ",Lampe brennt nicht. Abgang Bärenhraben.,
1300,4550,Beleuchtung > Straßenlaternen defekt,"47.6656182984385, 9.17825081734402",Stadtwerke Konstanz,Gelöst,22.02.2021,"Konzilstraße 21, 78462 Konstanz, Germany                    ",Lampe brennt nicht. Abgang Bärenhraben.,
1301,4551,Beleuchtung > Straßenlaternen defekt,"47.6634841265514, 9.16791895192256",Stadtwerke Konstanz,Gelöst,22.02.2021,"Maria-Ellenrieder-Straße 16, 78462 Konstanz, Germany                    ",Laterne brennt nicht.,
1302,4552,Beleuchtung > Straßenlaternen defekt,"47.6634841265514, 9.16791895192256",Stadtwerke Konstanz,Gelöst,22.02.2021,"Maria-Ellenrieder-Straße 16, 78462 Konstanz, Germany                    ",Laterne brennt nicht.,
1303,4553,"Straßen, Fahrrad & Verkehr > Straßenschäden","47.677640478703, 9.20877691358328",Stadtverwaltung,Gelöst,22.02.2021,"Überlinger Str. 13, 78464 Konstanz, Germany                    ",Durch die Anlieferung von teilweise extrem schweren Bauteilen für die Renovierung der Pumpanlage Fohrenbühl ist der Belag des Wendehammers mittlerweile sehr mitgenommen. Es sind viele Risse im Belag zu erkennen.,
1304,4554,Beleuchtung > Straßenlaternen defekt,"47.6871294061058, 9.19272296784752",Stadtwerke Konstanz,Gelöst,22.02.2021,"Mainaustraße 187, 78464 Konstanz, Germany                    ",Straßenlaterne steht schräg und droht umzufallen.,
1308,4558,"Straßen, Fahrrad & Verkehr > Fußwege schadhaft","47.6915743515354, 9.19108563423005",Technische Betriebe,Gelöst,24.02.2021,"Wolfsried 8, 78464 Konstanz, Germany                    ","Der Weg von bzw. zu der Bushaltestelle Egg/Universität ist aktuell in schlechtem Zustand.
1. Hereinragende Zweige.
2. erhöhter Verschmutzungsgrad
3. Der angrenzende Grasstreifen ist in die ursprüngliche Wegfläche reingewachsen. Hier müsste auf den Rand des Pflasters zurückgestutzt werden. Dann können Fußgänger und Radfahrer den Weg wieder in voller Breite auch mit Gegenverkehr nutzen.",
1311,4561,Beleuchtung > Straßenlaternen defekt,"47.6719404444889, 9.17377428553826",Stadtwerke Konstanz,Gelöst,25.02.2021,"Markgrafenstraße 41a, 78467 Konstanz, Germany                    ","Strassenlaterne vor Markgrafenstr. 41 defekt (Fussweg)
(Adresssuche nach: markgrafenstrasse 41)",
1312,4562,Beleuchtung > Straßenlaternen defekt,"47.671700064283, 9.17361225177741",Stadtwerke Konstanz,Gelöst,25.02.2021,"Markgrafenstraße 45, 78467 Konstanz, Germany                    ","Strassenlaterne vor Markgrafenstr. 45 kaputt. Der Fussweg ist sehr dunkel.
(Adresssuche nach: markgrafenstrasse 45)",
1317,4567,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.6750707966835, 9.20462552458048",Stadtverwaltung,Gelöst,27.02.2021,"Hermann-von-Vicari-Straße 39, 78464 Konstanz, Germany                    ",Dieses nicht abgeschlossene Fahrrad steht schon seit mind. Dezember 2020 bei den Birken vor dem Naturbiotop in der Hermann von Vicari Straße. Zwischendurch lag es auch schon hinter den Bäumen in der Wiese.,
1318,4568,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.7450718714831, 9.12965504868027","Behrendt, Chrtistian",Gelöst,28.02.2021,"Wittmoosstraße 11, 78465 Konstanz, Germany                    ",Hecken-/Baumbewuchs wächst nach wie vor in die Straße hinein und lässt ein Parken am Straßenrand nicht zu (Lichtraumprofil).,
1323,4573,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.670507668132, 9.16988139269306",Technische Betriebe,Gelöst,28.02.2021,"Adolf-Schmid-Straße 8, 78467 Konstanz, Germany                    ","Die Kante zum Schotter ist mittlerweile so hoch, das mehrfach am Tag FahrradfahrerInnen stürzen.",
1325,4575,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.6776845713117, 9.18825486404308",Stadtverwaltung,Gelöst,01.03.2021,"Uhlandstraße 18, 78464 Konstanz, Germany                    ",altes Fahrrad steht unabgeschlossen seit über einer Woche an einen Baum gelehnt,
1330,4580,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6635419028543, 9.16800666600466",Technische Betriebe,Gelöst,03.03.2021,"Maria-Ellenrieder-Straße 16, 78462 Konstanz, Germany                    ",Verschmutzte Strassen,
1331,4581,Müll/Sauberkeit > Illegaler Müll,"47.6712694308467, 9.17174801230431",Stadtverwaltung,Gelöst,03.03.2021,"Reichenaustraße 22, 78467 Konstanz, Germany                    ",Hindenburgstraße! Sperrmüll.,
1332,4582,"Straßen, Fahrrad & Verkehr > Straßenschäden","47.7377667, 9.1086074",OV Dettingen-Wallhausen,Gelöst,03.03.2021,"Sommerbergstraße 23, 78465 Konstanz, Germany                    ","Viele große Schlaglöcher, Straßenmitte
(Adresssuche nach: Zellerstr)",
1333,4583,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.6652229387823, 9.20650023307175",Siegfried Weiss,Gelöst,03.03.2021,"Hermann-Hesse-Weg 12, 78464 Konstanz, Deutschland                    ",Abgebrochene Äste welche auf parkende Autos fallen könnten. Grundstück der Blumenwiese bzw. Neues Baugrundstück,
1334,4584,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6733764936401, 9.17651832103729",Technische Betriebe,Gelöst,03.03.2021,"Gustav-Schwab-Straße 14E, 78467 Konstanz, Germany                    ","Mal wieder Verkehrszeichen betroffen, diesmal aus dem Boden gehoben und verdreht",
